Date,Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
2022-01-05,Snake Gourd,36,41,46,43,59,1kg
2022-01-05,Sorrel Leaves,10,12,13,12,17,1kg
2022-01-05,Spinach,10,12,13,12,17,1kg
2022-01-05,Sweet Potato,37,43,47,44,61,1kg
2022-01-06,Onion Big,34,39,43,41,56,1kg
2022-01-06,Onion Small,64,74,81,77,106,1kg
2022-01-06,Tomato,48,55,61,58,79,1kg
2022-01-06,Green Chilli,73,84,93,88,120,1kg
2022-01-06,Beetroot,67,77,85,80,111,1kg
2022-01-06,Potato,23,26,29,28,38,1kg
2022-01-06,Raw Banana,4,5,5,5,7,1kg
2022-01-06,Amaranth Leaves,16,18,20,19,26,1kg
2022-01-06,Amla,80,92,102,96,132,1kg
2022-01-06,Ash gourd,22,25,28,26,36,1kg
2022-01-06,Baby Corn,49,56,62,59,81,1kg
2022-01-06,Banana Flower,18,21,23,22,30,1kg
2022-01-06,Capsicum,40,46,51,48,66,1kg
2022-01-06,Bitter Gourd,57,66,72,68,94,1kg
2022-01-06,Bottle Gourd,25,29,32,30,41,1kg
2022-01-06,Butter Beans,48,55,61,58,79,1kg
2022-01-06,Broad Beans,66,76,84,79,109,1kg
2022-01-06,Cabbage,47,54,60,56,78,1kg
2022-01-06,Carrot,71,82,90,85,117,1kg
2022-01-06,Cauliflower,45,52,57,54,74,1kg
2022-01-06,Cluster beans,43,49,55,52,71,1kg
2022-01-06,Coconut,34,39,43,41,56,1kg
2022-01-06,Colocasia Leaves,11,13,14,13,18,1kg
2022-01-06,Colocasia,23,26,29,28,38,1kg
2022-01-06,Coriander Leaves,12,14,15,14,20,1kg
2022-01-06,Corn,35,40,44,42,58,1kg
2022-01-06,Cucumber,20,23,25,24,33,1kg
2022-01-06,Curry Leaves,45,52,57,54,74,1kg
2022-01-06,Dill Leaves,12,14,15,14,20,1kg
2022-01-06,Drumsticks,249,286,316,299,411,1kg
2022-01-06,Brinjal,51,59,65,61,84,1kg
2022-01-06,Brinjal,94,108,119,113,155,1kg
2022-01-06,Elephant Yam,32,37,41,38,53,1kg
2022-01-06,Fenugreek Leaves,10,12,13,12,17,1kg
2022-01-06,French Beans,36,41,46,43,59,1kg
2022-01-06,Garlic,71,82,90,85,117,1kg
2022-01-06,Ginger,41,47,52,49,68,1kg
2022-01-06,Onion Green,45,52,57,54,74,1kg
2022-01-06,Green Peas,47,54,60,56,78,1kg
2022-01-06,Ivy Gourd,34,39,43,41,56,1kg
2022-01-06,Lemon,40,46,51,48,66,1kg
